Date,Price,Open,High,Low,Vol.,Change %
Jan-82,7.937,7.99,8.4,7.75,1.65K,-2.31%
Feb-82,7.743,8.085,8.755,7.73,10.91K,-2.44%
Mar-82,7.23,7.76,7.93,6.85,23.01K,-6.63%
Apr-82,6.86,7.225,7.72,6.5,106.95K,-5.12%
May-82,6.295,6.925,6.95,6.28,15.58K,-8.24%
Jun-82,6.021,6.16,6.3,4.78,126.29K,-4.35%
Jul-82,6.682,5.845,7.36,5.5,4.88K,10.98%
Aug-82,7.87,6.97,8.28,6.21,8.05K,17.78%
Sep-82,8.24,7.74,9.765,7.53,48.78K,4.70%
Oct-82,10.09,8.415,10.7,8.02,250.55K,22.45%
Nov-82,10.09,10.365,11.01,8.95,235.85K,0.00%
Dec-82,10.93,10.11,11.3,10.02,12.52K,8.33%
Jan-83,14.25,11.05,14.26,10.9,3.79K,30.38%
Feb-83,10.3,14.38,14.74,10.2,68.68K,-27.72%
Mar-83,10.682,10.82,11.45,10.02,39.69K,3.71%
Apr-83,12.058,10.77,12.61,10.77,22.80K,12.88%
May-83,12.9,12.02,13.71,11.97,8.95K,6.98%
Jun-83,11.582,11.975,12.7,10.9,65.54K,-10.22%
Jul-83,11.815,11.66,12.65,11.23,14.83K,2.01%
Aug-83,12.1,11.8,12.83,11.49,12.89K,2.41%
Sep-83,10.9,12.23,12.45,10.72,14.10K,-9.92%
Oct-83,8.4,10.25,10.62,8.38,7.57K,-22.94%
Nov-83,9.62,8.43,9.86,8.4,41.37K,14.52%
Dec-83,9.02,9.46,10.04,8.44,8.66K,-6.24%
Jan-84,8.605,8.81,8.81,7.79,0.74K,-4.60%
Feb-84,9.66,8.763,9.91,8.6,37.64K,12.26%
Mar-84,9.82,9.61,10.17,9.25,10.60K,1.66%
Apr-84,8.955,9.75,9.75,8.86,37.28K,-8.81%
May-84,9.261,8.97,9.37,8.56,7.09K,3.42%
Jun-84,8.38,9.42,9.54,8.27,28.61K,-9.51%
Jul-84,7.018,8.29,8.32,6.85,8.51K,-16.25%
Aug-84,7.452,7.075,8.015,7.075,18.35K,6.18%
Sep-84,7.48,7.19,7.73,6.98,11.63K,0.38%
